Date/Time,Word Count,de,en,ja,ko,tr,vi,zh
2023.07.12-21.34.38,2270,0,2270,0,0,0,0,0
2023.07.13-20.15.13,2274,0,2274,0,0,0,0,0
2023.07.19-22.34.23,2280,0,2280,0,0,0,0,0
2023.07.19-22.54.44,2280,0,2280,0,0,0,0,38
2023.07.20-16.21.18,2280,0,2280,0,0,0,0,0
2023.07.20-17.05.05,2280,0,2280,0,0,0,0,42
2023.07.20-17.18.27,2280,0,2280,0,0,0,0,127
2023.07.20-18.55.32,2280,0,2280,0,0,0,0,279
2023.07.20-19.29.48,2280,0,2280,0,0,0,0,537
2023.07.20-19.54.32,2280,0,2280,0,0,0,0,661
2023.07.20-22.06.05,2280,0,2280,0,0,0,0,1234
2023.07.21-00.03.02,2280,0,2280,0,0,0,0,1770
2023.07.21-00.18.13,2280,0,2280,0,0,0,0,2074
2023.07.21-00.21.15,2280,0,2280,0,0,0,0,2075
2023.07.21-01.12.45,2280,0,2280,0,0,0,0,2079
2023.07.21-01.26.41,2280,0,2280,0,0,0,0,2086
2023.07.21-01.36.56,2283,0,2283,0,0,0,0,2086
2023.07.21-01.38.13,2283,0,2283,0,0,0,0,2089
2023.07.22-20.13.38,2283,0,2283,0,0,714,0,2089
2023.07.23-02.23.10,2283,0,2283,0,0,1037,0,2089
2023.07.23-18.23.01,2283,0,2283,0,0,1083,0,2089
2023.07.23-18.50.05,2283,0,2283,0,0,1993,0,2089
2023.07.23-18.59.24,2283,0,2283,0,0,1997,0,2089
2023.07.25-00.22.28,2283,0,2283,0,368,1997,0,2089
2023.07.25-20.27.30,2283,0,2283,0,2019,1997,0,2089
2023.07.25-22.40.02,2283,0,2283,313,2019,1997,0,2089
2023.07.26-00.11.46,2283,0,2283,745,2019,1997,0,2089
2023.07.26-01.24.13,2283,0,2283,1027,2019,1997,0,2089
2023.07.26-01.54.57,2283,0,2283,1071,2019,1997,0,2089
2023.07.26-14.12.41,2283,0,2283,1999,2019,1997,0,2089
2023.07.26-22.16.24,2283,0,2283,1999,2019,1997,9,2089
2023.07.28-19.22.07,2283,2188,2283,1999,2019,1997,9,2089
2023.07.28-21.42.20,2283,2283,2283,1999,2019,1997,9,2089
